method,run,evaluations,hypervolume,IGD
NSGA-III,1,252,1.1800846042414788,0.06528623193843965
NSGA-III,1,280,1.184718637205005,0.06354448574537457
NSGA-III,2,28,1.1193246152747909,0.1029460854452955
NSGA-III,2,56,1.1247901152780055,0.08991062574870666
NSGA-III,2,84,1.1276129197628635,0.0848566791814015
NSGA-III,2,112,1.1326474770389114,0.07419531100126328
NSGA-III,2,140,1.1369586124688928,0.07261567539658643
NSGA-III,2,168,1.1492984964931219,0.0684631351140803
NSGA-III,2,196,1.1578828854753007,0.06736307639263232
NSGA-III,2,224,1.1584421795150763,0.06684280434760671
NSGA-III,2,252,1.1669882432946777,0.0648340203676008
NSGA-III,2,280,1.1746587510233037,0.06408894398917678
NSGA-III,3,28,1.1374356452763725,0.10465566465084716
NSGA-III,3,56,1.1579579011204542,0.08799726870422979
NSGA-III,3,84,1.158790527027457,0.08630729020738026
NSGA-III,3,112,1.1626074363749792,0.08410200801095355
NSGA-III,3,140,1.1629083954531723,0.07973221732951767
NSGA-III,3,168,1.1632893303702276,0.07119469431374395
NSGA-III,3,196,1.164579981682714,0.07265167111928642
NSGA-III,3,224,1.1654505587109625,0.07023739688070063
NSGA-III,3,252,1.173936742956955,0.07064060094841908
NSGA-III,3,280,1.173936742956955,0.07064060094841908
NSGA-III,4,28,1.1035672891044335,0.1284421662296684
NSGA-III,4,56,1.137797596402664,0.10015358181114321
NSGA-III,4,84,1.1397404017781154,0.0839603418623263
NSGA-III,4,112,1.1560897470041807,0.08165213080367113
NSGA-III,4,140,1.1561623105958994,0.08135219899023186
NSGA-III,4,168,1.1611588960908095,0.07493702504854498
NSGA-III,4,196,1.167677023425413,0.08459378003719739
NSGA-III,4,224,1.1676997346905278,0.08459378003719739
NSGA-III,4,252,1.1678523203797018,0.084347760314378
NSGA-III,4,280,1.1837279704147456,0.08190665964244219
NSGA-III,5,28,1.1243347529691727,0.11192042358292113
NSGA-III,5,56,1.1354519784232162,0.10146182008362355
NSGA-III,5,84,1.1367405803128052,0.09169145739891986
NSGA-III,5,112,1.1393499984234257,0.08459677484243311
NSGA-III,5,140,1.147938730410919,0.07749241233481056
NSGA-III,5,168,1.1514443742431815,0.07211251489878824
NSGA-III,5,196,1.1521163625866213,0.07188663305625272
NSGA-III,5,224,1.1521392441047131,0.0707980182217844
NSGA-III,5,252,1.154658515496022,0.07035171439396634
NSGA-III,5,280,1.154704988574988,0.06881579536062918
NSGA-III,6,28,0.9205213852944415,0.14335979632955895
NSGA-III,6,56,1.0883953315375976,0.11645103743062528
NSGA-III,6,84,1.1286112736024372,0.10433164294678861
NSGA-III,6,112,1.152832649003888,0.08062040835403199
NSGA-III,6,140,1.1709182146465495,0.08577088045068106
NSGA-III,6,168,1.1740996330123734,0.07820054963919394
NSGA-III,6,196,1.1744192469485113,0.07767533886455433
NSGA-III,6,224,1.1779349995534178,0.07874309121812215
NSGA-III,6,252,1.1968982905267764,0.06727530439124702
