fold,variant,protocol,target,MAPE,RMSE,R2,n_eval_rows,n_heldout_cells,seconds,features
4,LSTM_sparse_k_Re0_rollout,autoregressive_rollout,Q,1.9254483327053988,0.07815612980197176,0.8711970516765036,150,45,13.26319670677185,"k_exp,Re0"
4,LSTM_sparse_k_Re0_rollout,autoregressive_rollout,Re,0.2047840943343085,0.05738726425222302,0.998023357722875,150,45,13.26319670677185,"k_exp,Re0"
4,LSTM_sparse_k_Re0_rollout,autoregressive_rollout,macro_avg,1.0651162135198537,0.06777169702709739,0.9346102046996894,150,45,13.26319670677185,"k_exp,Re0"
4,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,autoregressive_rollout,Q,2.559654201616581,0.12259989906791545,0.6830578946345531,150,45,13.8675377368927,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean"
4,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,autoregressive_rollout,Re,0.3953458353885144,0.08617185334334748,0.9955431511679151,150,45,13.8675377368927,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean"
4,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,autoregressive_rollout,macro_avg,1.4775000185025475,0.10438587620563147,0.8393005229012341,150,45,13.8675377368927,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean"
4,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,autoregressive_rollout,Q,1.66720063206913,0.05531244476686175,0.9354872697716087,150,45,8.609141826629639,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean"
4,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,autoregressive_rollout,Re,0.642173743461405,0.1283945548991384,0.9901055821115642,150,45,8.609141826629639,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean"
4,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,autoregressive_rollout,macro_avg,1.1546871877652674,0.09185349983300008,0.9627964259415864,150,45,8.609141826629639,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean"
4,PINN_pred_full9,pointwise,Q,5.462616379837111,0.17881690778501297,0.5698027471432894,746,45,3.675583600997925,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
4,PINN_pred_full9,pointwise,Re,9.669980553070701,2.509915076360334,-0.039677626111596975,746,45,3.675583600997925,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
