seed,repeat,ms_per_trajectory
72,86,12.624675400002161
72,87,12.879056299993863
72,88,12.320078599998396
72,89,12.487036300001364
72,90,12.335703300004752
72,91,12.383305100001962
72,92,12.063229600005343
72,93,12.394681800003582
72,94,12.880641200001719
72,95,12.543851600003109
72,96,12.399510000000191
72,97,12.768178900000748
72,98,12.285652799994295
72,99,12.872738400005801
72,100,13.080948599997555
82,1,12.367393199997423
82,2,12.496077299999797
82,3,12.284446900002877
82,4,12.39740339999571
82,5,12.373585600005299
82,6,12.223108199998478
82,7,12.132756400001199
82,8,12.979549800002133
82,9,12.562429900003735
82,10,14.76552570001104
82,11,12.390610600004948
82,12,12.453849999997146
82,13,12.501789999998891
82,14,12.863787799994952
82,15,12.649274099999275
82,16,12.578483799995865
82,17,12.916945599999963
82,18,12.845030799996948
82,19,12.753187299995261
82,20,12.578948899999887
82,21,12.292853199994624
82,22,12.327094500005842
82,23,12.710821999996824
82,24,12.435615399999733
82,25,13.110862400003498
82,26,12.766469300004246
82,27,12.50500280000324
82,28,12.633316599999489
82,29,12.610663700002078
82,30,12.36223330000712
82,31,12.67640680000568
82,32,12.54330149999987
82,33,12.565212499998779
82,34,12.343979399997806
82,35,12.400909099994806
82,36,12.401344199997766
82,37,12.36260210000637
82,38,12.238528499995027
82,39,12.33486860000994
82,40,12.389276300007168
82,41,13.28069300000152
82,42,12.552518699999382
82,43,13.154626200002895
82,44,13.376997000000301
82,45,12.931015399999524
82,46,12.45909000000438
82,47,12.674468499994873
82,48,12.499808699999448
82,49,12.917256200000793
82,50,12.309988200001953
82,51,12.280608000003213
82,52,12.315513900000497
82,53,12.416050499996345
82,54,12.284613300005276
82,55,12.664263599992864
82,56,12.638933499999894
82,57,13.245110299999396
82,58,12.608519100001558
82,59,12.982035499999256
82,60,12.768283000002612
82,61,12.439770000003136
82,62,12.269668500005082
82,63,12.684921100003521
82,64,12.603670799990141
82,65,13.079184599996552
82,66,12.684182999998939
82,67,12.638879199994335
82,68,12.773492000007991
82,69,12.61142100000825
82,70,12.34179990000257
82,71,12.341141000001699
82,72,12.509925600011229
82,73,12.865050100003828
82,74,12.049538200005827
