model,protocol,variant,target,MAPE,RMSE,R2,n_features,features,seconds
LSTM_main,teacher_forced,k_Re0_Rct0_Q0,macro_avg,2.372397955307973,0.21316048263063828,0.921999376846622,4,"k_exp,Re0,Rct0,Q0",4.286168813705444
LSTM_main,autoregressive_rollout,k_Re0_Rct0_Q0,Q,3.4769271508316804,0.09769764642801802,0.8713246828588034,4,"k_exp,Re0,Rct0,Q0",4.444328546524048
LSTM_main,autoregressive_rollout,k_Re0_Rct0_Q0,Re,1.5395618308981551,0.33780381852984737,0.9605128233160757,4,"k_exp,Re0,Rct0,Q0",4.444328546524048
LSTM_main,autoregressive_rollout,k_Re0_Rct0_Q0,macro_avg,2.508244490864918,0.2177507324789327,0.9159187530874395,4,"k_exp,Re0,Rct0,Q0",4.444328546524048
LSTM_main,teacher_forced,PINNfeat_k_Re0_Q0_EaStress,Q,3.1140661238969627,0.09644288063274181,0.8746087038162238,5,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean",4.871801853179932
LSTM_main,teacher_forced,PINNfeat_k_Re0_Q0_EaStress,Re,1.393914370737079,0.36513743109975805,0.9538640268660239,5,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean",4.871801853179932
LSTM_main,teacher_forced,PINNfeat_k_Re0_Q0_EaStress,macro_avg,2.253990247317021,0.23079015586624993,0.9142363653411238,5,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean",4.871801853179932
LSTM_main,autoregressive_rollout,PINNfeat_k_Re0_Q0_EaStress,Q,3.399214407890504,0.10183410307964784,0.8601979533054465,5,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean",5.031674861907959
LSTM_main,autoregressive_rollout,PINNfeat_k_Re0_Q0_EaStress,Re,1.5084490336951502,0.39476723719656753,0.9460726377234134,5,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean",5.031674861907959
LSTM_main,autoregressive_rollout,PINNfeat_k_Re0_Q0_EaStress,macro_avg,2.4538317207928273,0.2483006701381077,0.90313529551443,5,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean",5.031674861907959
LSTM_main,teacher_forced,PINNfeat_k_Re0_Rct0_Q0_EaStress,Q,2.9673634405819724,0.10239863183149395,0.8586436403637843,6,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean",4.3877410888671875
LSTM_main,teacher_forced,PINNfeat_k_Re0_Rct0_Q0_EaStress,Re,2.944277774191388,0.7686240295286152,0.795565170044476,6,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean",4.3877410888671875
LSTM_main,teacher_forced,PINNfeat_k_Re0_Rct0_Q0_EaStress,macro_avg,2.95582060738668,0.43551133068005454,0.8271044052041301,6,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean",4.3877410888671875
LSTM_main,autoregressive_rollout,PINNfeat_k_Re0_Rct0_Q0_EaStress,Q,3.0445171017109725,0.1039821440160164,0.8542379122297532,6,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean",4.542780876159668
LSTM_main,autoregressive_rollout,PINNfeat_k_Re0_Rct0_Q0_EaStress,Re,3.04554275509949,0.8103860016230947,0.7727463668984795,6,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean",4.542780876159668
LSTM_main,autoregressive_rollout,PINNfeat_k_Re0_Rct0_Q0_EaStress,macro_avg,3.0450299284052313,0.45718407281955553,0.8134921395641164,6,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean",4.542780876159668
LSTM_main,teacher_forced,PINNfeat_no_Ea,Q,3.336153800318077,0.09410585799891717,0.8806120866767652,5,"k_exp,Re0,Rct0,Q0,stress",4.655906915664673
LSTM_main,teacher_forced,PINNfeat_no_Ea,Re,2.089470368656043,0.4549747098874265,0.9283689219393236,5,"k_exp,Re0,Rct0,Q0,stress",4.655906915664673
LSTM_main,teacher_forced,PINNfeat_no_Ea,macro_avg,2.71281208448706,0.2745402839431718,0.9044905043080445,5,"k_exp,Re0,Rct0,Q0,stress",4.655906915664673
LSTM_main,autoregressive_rollout,PINNfeat_no_Ea,Q,3.61088698456703,0.10060113016374861,0.8635628108566906,5,"k_exp,Re0,Rct0,Q0,stress",4.811449289321899
LSTM_main,autoregressive_rollout,PINNfeat_no_Ea,Re,2.2414722035917443,0.4874170112665066,0.917789301411949,5,"k_exp,Re0,Rct0,Q0,stress",4.811449289321899
LSTM_main,autoregressive_rollout,PINNfeat_no_Ea,macro_avg,2.926179594079387,0.2940090707151276,0.8906760561343199,5,"k_exp,Re0,Rct0,Q0,stress",4.811449289321899
