candidate_id,L,hidden,layers,H,lr,seed,validation_macro_MAPE,parameters,latency_ms,train_seconds
L10_D128_N2_H15_LR0.00070000,10,128,2,15,0.0007,102,1.6566448939983698,229186,0.4249919891357422,3.960919024000077
L10_D128_N2_H15_LR0.00070000,10,128,2,15,0.0007,112,2.554317777423348,229186,0.42383360862731934,4.204609116000029
L10_D128_N2_H15_LR0.00070000,10,128,2,15,0.0007,122,1.6152585586944688,229186,0.420147180557251,3.5488416850000704
L10_D128_N2_H15_LR0.00070000,10,128,2,15,0.0007,132,1.9466661456735836,229186,0.4068352222442627,3.792080982000016
L15_D64_N2_H10_LR0.00120000,15,64,2,10,0.0012,42,1.458069278173908,69698,0.4265439987182617,2.7268902499999967
L15_D64_N2_H10_LR0.00120000,15,64,2,10,0.0012,52,2.2895654811752983,69698,0.4282383918762207,2.968803858000001
L15_D64_N2_H10_LR0.00120000,15,64,2,10,0.0012,62,1.5523378404529447,69698,0.429095983505249,2.8754598409999517
L15_D64_N2_H10_LR0.00120000,15,64,2,10,0.0012,72,1.5932135488481782,69698,0.39987199306488036,2.76465220099999
L15_D64_N2_H10_LR0.00120000,15,64,2,10,0.0012,82,2.0491687515957113,69698,0.4387104034423828,2.4183442799999284
L15_D64_N2_H10_LR0.00120000,15,64,2,10,0.0012,92,1.7955770761922274,69698,0.43488640785217286,2.9994633029999704
L15_D64_N2_H10_LR0.00120000,15,64,2,10,0.0012,102,1.9165095431890649,69698,0.4419583797454834,2.8291813870000624
L15_D64_N2_H10_LR0.00120000,15,64,2,10,0.0012,112,1.5685702415119593,69698,0.4281263828277588,2.7630189899999777
L15_D64_N2_H10_LR0.00120000,15,64,2,10,0.0012,122,1.728968150321011,69698,0.4173855781555176,2.88351736300001
L15_D64_N2_H10_LR0.00120000,15,64,2,10,0.0012,132,1.59120016203571,69698,0.41904478073120116,2.888802579000071
L20_D160_N3_H5_LR0.00020000,20,160,3,5,0.0002,42,2.3248345463656177,551874,0.7057456016540528,9.637195237000014
L20_D160_N3_H5_LR0.00020000,20,160,3,5,0.0002,52,2.6518305357192737,551874,0.7062528133392334,8.381646090000004
L20_D160_N3_H5_LR0.00020000,20,160,3,5,0.0002,62,2.5882822318872956,551874,0.7070720195770264,11.009867046999943
L20_D160_N3_H5_LR0.00020000,20,160,3,5,0.0002,72,2.291446792505104,551874,0.7057407855987549,9.699668477000046
L20_D160_N3_H5_LR0.00020000,20,160,3,5,0.0002,82,2.284810091437957,551874,0.7072591781616211,8.708218736999925
L20_D160_N3_H5_LR0.00020000,20,160,3,5,0.0002,92,2.979323514408412,551874,0.7053311824798584,9.313881605000006
L20_D160_N3_H5_LR0.00020000,20,160,3,5,0.0002,102,2.4051132425342048,551874,0.703111982345581,8.611867677999953
L20_D160_N3_H5_LR0.00020000,20,160,3,5,0.0002,112,2.0286104934562834,551874,0.7045008182525635,9.350762084000053
L20_D160_N3_H5_LR0.00020000,20,160,3,5,0.0002,122,2.29416823166145,551874,0.706276798248291,10.270268531000056
L20_D160_N3_H5_LR0.00020000,20,160,3,5,0.0002,132,2.517922239516179,551874,0.7064576148986816,8.361226458000033
